CÓDIGO ;PRODUTO ;CUSTO;VENDA;DESCONTO A VISTA 
;ABRACADEIRA ENFORCA GATO  2,5X100MM 100UNI;2.99;5.0;4.271428571428572
;ABRACADEIRA ENFORCA GATO 2,5X200MM 100UNI;8.1;12.5;11.571428571428571
;ABRACADEIRA ENFORCA GATO 3,6X140MM 100UNI;15.57;24.0;22.242857142857144
;ABRACADEIRA ENFORCA GATO 3,6X200MM 100UNI;18.93;30.0;27.042857142857144
;ABRACADEIRA ENFORCA GATO 3,6X200MM 100UNI;14.61;22.5;20.871428571428574
;ABRACADEIRA ENFORCA GATO 4,8X200MM 100UNI;38.41;60.0;54.87142857142857
;ABRACADEIRA ENFORCA GATO 7,8X360MM 100UNI;70.85;110.0;101.21428571428571
;ABRACADEIRA LAMPADA TUBOLAR T8;0.57;1.0;0.8142857142857143
;ACABAMENTO VALVULA DOCOL CINZA/BEGE;25.3;39.8;36.142857142857146
;ACABAMENTO VALVULA DOCOL CROMADO;45.4;69.8;64.85714285714286
;ACRILICA MAXIMA EFICIENCIA - BRANCO 18l - SUVINIL GLASU;221.82;320.0;316.8857142857143
;ACRILICA MAXIMA EFICIENCIA - CORES 18L - SUVINIL GLASU;221.82;320.0;316.8857142857143
;ACRILICA STANDARD RENDE E COBRE MUITO - BRANCO/GELO 18L - SUVINIL;349.9;415.0;499.85714285714283
;ACRILICA STANDARD RENDE E COBRE MUITO - BRANCO/GELO 3,6L - SUVINIL;103.9;150.0;148.42857142857144
;ACRILICA STANDARD RENDE E COBRE MUITO - CORES 18L - SUVINIL;368.94;435.0;527.0571428571429
;ACRILICA STANDARD RENDE E COBRE MUITO - CORES 3,6L - SUVINIL;111.9;160.0;159.85714285714286
;ADAPTADOR PARA FILTRO;29.5;46.0;42.142857142857146
7896193236783.0;ADERE DUPLA FACE 19X02 800G;12.2;19.5;17.428571428571427
;ADERE FITA FORTE DUPLA FACE 12MMX2M;7.4;12.5;10.571428571428573
;ADESIVO PVC COLA 17G;1.29;3.5;1.842857142857143
;ADESIVO PVC COLA 75GR ;3.99;7.0;5.700000000000001
;ADESIVO PVC COLA PINCEL 175G ;7.98;14.5;11.400000000000002
;ADESIVO PVC COLA PINCEL 850G ;25.71;39.9;36.728571428571435
;AIEDEM ABRACADEIRA CHAPA U 4'';1.6;3.0;2.285714285714286
;ALCA PREFORMADA 16MM;2.12;5.0;3.028571428571429
7891249013837.0;ALIANCA FECHADURA COLONIAL 3600/104;104.94;162.0;149.9142857142857
